Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Dysphagia,R13,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
Dysphagia,R13,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
Dysphagia,R13,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
Dysphagia,R13,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other specified symptoms and signs involving the digestive system and abdomen,R19.8,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Other specified symptoms and signs involving the digestive system and abdomen,R19.8,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Malaise and fatigue,R53,2011,95,11545442,0.8,0.7
Malaise and fatigue,R53,2012,140,11551783,1.2,0.9
Malaise and fatigue,R53,2013,109,11572232,0.9,0.7
Malaise and fatigue,R53,2014,35,11596998,0.3,0.2
Malaise and fatigue,R53,2015,34,11613423,0.3,0.2
Senility,R54,2011,172,11545442,1.5,1.1
Senility,R54,2012,197,11551783,1.7,1.3
Senility,R54,2013,198,11572232,1.7,1.3
Senility,R54,2014,158,11596998,1.4,1
Senility,R54,2015,180,11613423,1.5,1.2
Other and unspecified convulsions,R56.8,2011,43,11545442,0.4,0.4
Other and unspecified convulsions,R56.8,2012,39,11551783,0.3,0.3
Other and unspecified convulsions,R56.8,2013,39,11572232,0.3,0.3
Other and unspecified convulsions,R56.8,2014,48,11596998,0.4,0.4
Other and unspecified convulsions,R56.8,2015,44,11613423,0.4,0.4
Cardiogenic shock,R57.0,2011,25,11545442,0.2,0.2
Cardiogenic shock,R57.0,2012,38,11551783,0.3,0.3
Cardiogenic shock,R57.0,2013,20,11572232,0.2,0.1
Cardiogenic shock,R57.0,2014,22,11596998,0.2,0.2
Cardiogenic shock,R57.0,2015,30,11613423,0.3,0.2
"Shock, unspecified",R57.9,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Shock, unspecified",R57.9,2012,26,11551783,0.2,0.2
"Shock, unspecified",R57.9,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Shock, unspecified",R57.9,2014,22,11596998,0.2,0.2
"Shock, unspecified",R57.9,2015,24,11613423,0.2,0.2
"Haemorrhage, not elsewhere classified",R58,2011,20,11545442,0.2,0.2
"Haemorrhage, not elsewhere classified",R58,2012,22,11551783,0.2,0.2
"Haemorrhage, not elsewhere classified",R58,2013,26,11572232,0.2,0.2
"Haemorrhage, not elsewhere classified",R58,2014,22,11596998,0.2,0.2
"Haemorrhage, not elsewhere classified",R58,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other lack of expected normal physiological development,R62.8,2011,357,11545442,3.1,2.5
Other lack of expected normal physiological development,R62.8,2012,447,11551783,3.9,3.1
Other lack of expected normal physiological development,R62.8,2013,384,11572232,3.3,2.6
Other lack of expected normal physiological development,R62.8,2014,238,11596998,2.1,1.6
Other lack of expected normal physiological development,R62.8,2015,255,11613423,2.2,1.7
Abnormal weight loss,R63.4,2015,27,11613423,0.2,0.2
Cachexia,R64,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Cachexia,R64,2013,14,11572232,0.1 (Unreliable),0.1 (Unreliable)
Cachexia,R64,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
Cachexia,R64,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other specified general symptoms and signs,R68.8,2011,41,11545442,0.4,0.3
Other specified general symptoms and signs,R68.8,2012,78,11551783,0.7,0.5
Other specified general symptoms and signs,R68.8,2013,85,11572232,0.7,0.6
Other specified general symptoms and signs,R68.8,2014,77,11596998,0.7,0.5
Other specified general symptoms and signs,R68.8,2015,73,11613423,0.6,0.5
Abnormal findings on diagnostic imaging of lung,R91,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Abnormal findings on diagnostic imaging of lung,R91,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Abnormal findings on diagnostic imaging of lung,R91,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
Abnormal findings on diagnostic imaging of lung,R91,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
Sudden infant death syndrome - SIDS,R95,2011,94,11545442,0.8,0.9
Sudden infant death syndrome - SIDS,R95,2012,83,11551783,0.7,0.8
Sudden infant death syndrome - SIDS,R95,2013,90,11572232,0.8,0.9
Sudden infant death syndrome - SIDS,R95,2014,71,11596998,0.6,0.7
Sudden infant death syndrome - SIDS,R95,2015,87,11613423,0.7,0.9
Instantaneous death,R96.0,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Instantaneous death,R96.0,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
Other ill-defined and unspecified causes of mortality,R99,2011,386,11545442,3.3,3
Other ill-defined and unspecified causes of mortality,R99,2012,327,11551783,2.8,2.5
Other ill-defined and unspecified causes of mortality,R99,2013,322,11572232,2.8,2.4
Other ill-defined and unspecified causes of mortality,R99,2014,280,11596998,2.4,2.1
Other ill-defined and unspecified causes of mortality,R99,2015,350,11613423,3,2.5
"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident",V03.0,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,2011,54,11545442,0.5,0.4
"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,2012,61,11551783,0.5,0.5
"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,2013,40,11572232,0.3,0.3
"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,2014,34,11596998,0.3,0.3
"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,2015,63,11613423,0.5,0.5
Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,2011,62,11545442,0.5,0.5
Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,2012,64,11551783,0.6,0.5
Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,2013,60,11572232,0.5,0.5
Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,2014,61,11596998,0.5,0.5
Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,2015,63,11613423,0.5,0.5
"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident",V13.9,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,2011,25,11545442,0.2,0.2
"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,2012,31,11551783,0.3,0.2
"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,2013,23,11572232,0.2,0.2
"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,2014,26,11596998,0.2,0.2
"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,2015,34,11613423,0.3,0.3
"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,2011,32,11545442,0.3,0.3
"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,2012,26,11551783,0.2,0.2
"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,2013,22,11572232,0.2,0.2
"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,2014,20,11596998,0.2,0.2
"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,2015,30,11613423,0.3,0.3
"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,2011,22,11545442,0.2,0.2
Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,2014,26,11596998,0.2,0.2
Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,2015,21,11613423,0.2,0.2
Motorcycle rider [any] injured in unspecified traffic accident,V29.9,2011,42,11545442,0.4,0.4
Motorcycle rider [any] injured in unspecified traffic accident,V29.9,2012,40,11551783,0.3,0.3
Motorcycle rider [any] injured in unspecified traffic accident,V29.9,2013,22,11572232,0.2,0.2
Motorcycle rider [any] injured in unspecified traffic accident,V29.9,2014,30,11596998,0.3,0.3
Motorcycle rider [any] injured in unspecified traffic accident,V29.9,2015,37,11613423,0.3,0.3
"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,2011,60,11545442,0.5,0.5
"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,2012,77,11551783,0.7,0.6
"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,2013,55,11572232,0.5,0.4
"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,2014,70,11596998,0.6,0.6
"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,2015,68,11613423,0.6,0.6
"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,2011,37,11545442,0.3,0.3
"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,2013,28,11572232,0.2,0.2
"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,2014,24,11596998,0.2,0.2
"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,2015,26,11613423,0.2,0.2
"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V44.5,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V44.5,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V44.5,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,2011,59,11545442,0.5,0.5
"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,2012,65,11551783,0.6,0.6
"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,2013,79,11572232,0.7,0.7
"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,2014,74,11596998,0.6,0.7
"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,2015,82,11613423,0.7,0.7
"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,2011,23,11545442,0.2,0.2
"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,2012,22,11551783,0.2,0.2
"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,2014,27,11596998,0.2,0.3
"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,2015,23,11613423,0.2,0.2
"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,2013,18,11572232,0.2 (Unreliable),0.2 (Unreliable)
"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident",V48.9,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Car occupant [any] injured in unspecified traffic accident,V49.9,2011,29,11545442,0.3,0.3
Car occupant [any] injured in unspecified traffic accident,V49.9,2012,36,11551783,0.3,0.3
Car occupant [any] injured in unspecified traffic accident,V49.9,2013,20,11572232,0.2,0.2
Car occupant [any] injured in unspecified traffic accident,V49.9,2014,23,11596998,0.2,0.2
Car occupant [any] injured in unspecified traffic accident,V49.9,2015,25,11613423,0.2,0.2
"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident",V57.5,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident",V57.5,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident",V57.5,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Driver of all-terrain or other off-road motor vehicle injured in traffic accident,V86.0,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,V86.5,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,V86.5,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,V86.5,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,V86.5,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident,V86.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident,V86.9,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Person injured in collision between car and pick-up truck or van (traffic),V87.2,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Person injured in collision between car and pick-up truck or van (traffic),V87.2,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Person injured in collision between car and pick-up truck or van (traffic),V87.2,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Person injured in collision between car and heavy transport vehicle (traffic),V87.4,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Person injured in collision between car and heavy transport vehicle (traffic),V87.4,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
Person injured in collision between car and heavy transport vehicle (traffic),V87.4,2015,24,11613423,0.2,0.2
Person injured in collision between other specified motor vehicles (traffic),V87.7,2011,154,11545442,1.3,1.3
Person injured in collision between other specified motor vehicles (traffic),V87.7,2012,126,11551783,1.1,1
Person injured in collision between other specified motor vehicles (traffic),V87.7,2013,143,11572232,1.2,1.2
Person injured in collision between other specified motor vehicles (traffic),V87.7,2014,126,11596998,1.1,1.1
Person injured in collision between other specified motor vehicles (traffic),V87.7,2015,154,11613423,1.3,1.3
"Person injured in unspecified motor-vehicle accident, nontraffic",V89.0,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Person injured in unspecified motor-vehicle accident, traffic",V89.2,2011,315,11545442,2.7,2.7
"Person injured in unspecified motor-vehicle accident, traffic",V89.2,2012,381,11551783,3.3,3.3
"Person injured in unspecified motor-vehicle accident, traffic",V89.2,2013,347,11572232,3,2.9
"Person injured in unspecified motor-vehicle accident, traffic",V89.2,2014,336,11596998,2.9,2.8
"Person injured in unspecified motor-vehicle accident, traffic",V89.2,2015,326,11613423,2.8,2.7
Unspecified aircraft accident injuring occupant,V95.9,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Unspecified aircraft accident injuring occupant,V95.9,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Fall on same level involving ice and snow,W00,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Fall on same level involving ice and snow,W00,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Fall on same level from slipping, tripping and stumbling",W01,2011,26,11545442,0.2,0.2
"Fall on same level from slipping, tripping and stumbling",W01,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Fall on same level from slipping, tripping and stumbling",W01,2013,21,11572232,0.2,0.1
"Fall on same level from slipping, tripping and stumbling",W01,2014,20,11596998,0.2,0.1
"Fall on same level from slipping, tripping and stumbling",W01,2015,21,11613423,0.2,0.1
Fall involving wheelchair,W05,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Fall involving wheelchair,W05,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Fall involving wheelchair,W05,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Fall involving wheelchair,W05,2014,20,11596998,0.2,0.1
Fall involving wheelchair,W05,2015,20,11613423,0.2,0.1
Fall involving bed,W06,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Fall involving bed,W06,2012,32,11551783,0.3,0.2
Fall involving bed,W06,2013,24,11572232,0.2,0.2
Fall involving bed,W06,2014,35,11596998,0.3,0.2
Fall involving bed,W06,2015,29,11613423,0.2,0.2
Fall involving chair,W07,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Fall involving chair,W07,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Fall on and from stairs and steps,W10,2011,131,11545442,1.1,1
Fall on and from stairs and steps,W10,2012,118,11551783,1,0.9
Fall on and from stairs and steps,W10,2013,148,11572232,1.3,1.1
Fall on and from stairs and steps,W10,2014,154,11596998,1.3,1.1
Fall on and from stairs and steps,W10,2015,148,11613423,1.3,1
Fall on and from ladder,W11,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Fall on and from ladder,W11,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Fall on and from ladder,W11,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Fall on and from ladder,W11,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
Fall on and from ladder,W11,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Fall from, out of or through building or structure",W13,2011,26,11545442,0.2,0.2
"Fall from, out of or through building or structure",W13,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Fall from, out of or through building or structure",W13,2013,20,11572232,0.2,0.2
"Fall from, out of or through building or structure",W13,2014,25,11596998,0.2,0.2
"Fall from, out of or through building or structure",W13,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other fall from one level to another,W17,2011,22,11545442,0.2,0.2
Other fall from one level to another,W17,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other fall from one level to another,W17,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
Other fall from one level to another,W17,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other fall from one level to another,W17,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other fall on same level,W18,2011,282,11545442,2.4,2.1
Other fall on same level,W18,2012,255,11551783,2.2,1.8
Other fall on same level,W18,2013,303,11572232,2.6,2.2
Other fall on same level,W18,2014,356,11596998,3.1,2.5
Other fall on same level,W18,2015,393,11613423,3.4,2.7
Unspecified fall,W19,2011,609,11545442,5.3,4.4
Unspecified fall,W19,2012,658,11551783,5.7,4.7
Unspecified fall,W19,2013,597,11572232,5.2,4.2
Unspecified fall,W19,2014,697,11596998,6,4.8
Unspecified fall,W19,2015,615,11613423,5.3,4.2
"Struck by thrown, projected or falling object",W20,2011,30,11545442,0.3,0.3
"Struck by thrown, projected or falling object",W20,2012,25,11551783,0.2,0.2
"Struck by thrown, projected or falling object",W20,2013,23,11572232,0.2,0.2
"Struck by thrown, projected or falling object",W20,2014,20,11596998,0.2,0.2
"Struck by thrown, projected or falling object",W20,2015,27,11613423,0.2,0.2
Contact with agricultural machinery,W30,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
Contact with agricultural machinery,W30,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Contact with agricultural machinery,W30,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Contact with agricultural machinery,W30,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Contact with other and unspecified machinery,W31,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Contact with other and unspecified machinery,W31,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
Contact with other and unspecified machinery,W31,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
Contact with other and unspecified machinery,W31,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Discharge from other and unspecified firearms,W34,2011,16,11545442,0.1 (Unreliable),0.2 (Unreliable)
Discharge from other and unspecified firearms,W34,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Discharge from other and unspecified firearms,W34,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Discharge from other and unspecified firearms,W34,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Drowning and submersion while in bath-tub,W65,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Drowning and submersion while in bath-tub,W65,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Drowning and submersion while in bath-tub,W65,2013,18,11572232,0.2 (Unreliable),0.2 (Unreliable)
Drowning and submersion while in bath-tub,W65,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Drowning and submersion while in bath-tub,W65,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Drowning and submersion while in swimming-pool,W67,2012,19,11551783,0.2 (Unreliable),0.2 (Unreliable)
Drowning and submersion while in swimming-pool,W67,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
Drowning and submersion while in natural water,W69,2011,29,11545442,0.3,0.2
Drowning and submersion while in natural water,W69,2012,45,11551783,0.4,0.4
Drowning and submersion while in natural water,W69,2013,40,11572232,0.3,0.3
Drowning and submersion while in natural water,W69,2014,44,11596998,0.4,0.4
Drowning and submersion while in natural water,W69,2015,50,11613423,0.4,0.4
Unspecified drowning and submersion,W74,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Unspecified drowning and submersion,W74,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
Unspecified drowning and submersion,W74,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
Unspecified drowning and submersion,W74,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Accidental suffocation and strangulation in bed,W75,2011,61,11545442,0.5,0.6
Accidental suffocation and strangulation in bed,W75,2012,47,11551783,0.4,0.5
Accidental suffocation and strangulation in bed,W75,2013,36,11572232,0.3,0.4
Accidental suffocation and strangulation in bed,W75,2014,36,11596998,0.3,0.4
Accidental suffocation and strangulation in bed,W75,2015,52,11613423,0.4,0.5
Other accidental hanging and strangulation,W76,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Inhalation of gastric contents,W78,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Inhalation and ingestion of food causing obstruction of respiratory tract,W79,2011,52,11545442,0.5,0.4
Inhalation and ingestion of food causing obstruction of respiratory tract,W79,2012,53,11551783,0.5,0.4
Inhalation and ingestion of food causing obstruction of respiratory tract,W79,2013,35,11572232,0.3,0.3
Inhalation and ingestion of food causing obstruction of respiratory tract,W79,2014,53,11596998,0.5,0.4
Inhalation and ingestion of food causing obstruction of respiratory tract,W79,2015,54,11613423,0.5,0.4
Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,2011,159,11545442,1.4,1.1
Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,2012,159,11551783,1.4,1.2
Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,2013,151,11572232,1.3,1.1
Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,2014,146,11596998,1.3,1
Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,2015,136,11613423,1.2,0.9
Unspecified threat to breathing,W84,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Unspecified threat to breathing,W84,2012,19,11551783,0.2 (Unreliable),0.2 (Unreliable)
Unspecified threat to breathing,W84,2013,20,11572232,0.2,0.2
Unspecified threat to breathing,W84,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
Unspecified threat to breathing,W84,2015,22,11613423,0.2,0.2
Exposure to uncontrolled fire in building or structure,X00,2011,81,11545442,0.7,0.7
Exposure to uncontrolled fire in building or structure,X00,2012,64,11551783,0.6,0.5
Exposure to uncontrolled fire in building or structure,X00,2013,92,11572232,0.8,0.7
Exposure to uncontrolled fire in building or structure,X00,2014,99,11596998,0.9,0.8
Exposure to uncontrolled fire in building or structure,X00,2015,109,11613423,0.9,0.8
Exposure to excessive natural heat,X30,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Exposure to excessive natural cold,X31,2011,21,11545442,0.2,0.2
Exposure to excessive natural cold,X31,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Exposure to excessive natural cold,X31,2013,22,11572232,0.2,0.2
Exposure to excessive natural cold,X31,2014,43,11596998,0.4,0.3
Exposure to excessive natural cold,X31,2015,39,11613423,0.3,0.3
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",X40,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,2011,61,11545442,0.5,0.5
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,2012,51,11551783,0.4,0.4
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,2013,69,11572232,0.6,0.6
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,2014,53,11596998,0.5,0.5
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,2015,74,11613423,0.6,0.6
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,2011,732,11545442,6.3,6.5
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,2012,893,11551783,7.7,8.1
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,2013,1119,11572232,9.7,10
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,2014,1470,11596998,12.7,13.2
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,2015,1967,11613423,16.9,17.9
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,2011,969,11545442,8.4,8.5
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,2012,947,11551783,8.2,8.4
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,2013,914,11572232,7.9,8.1
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,2014,999,11596998,8.6,9
