,,ICD Chapter,ICD Sub-Chapter,Cause of death,
177,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Connective and other soft tissue - Uncertain neoplasms,22
383,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Liver, gallbladder and bile ducts - Uncertain neoplasms",14
431,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Monoclonal gammopathy - Uncertain neoplasms,11
445,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",388
456,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified - Uncertain neoplasms",14
457,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",32
505,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Other digestive organs - Uncertain neoplasms,19
545,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Other specified sites - Uncertain neoplasms,19
593,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Polycythaemia vera,17
611,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Refractory anaemia, unspecified - Uncertain neoplasms",11
661,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Spinal cord - Uncertain neoplasms,10
694,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Trachea, bronchus and lung - Uncertain neoplasms",53
755,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,
845,All Causes,Neoplasms,,,
542,All Causes,"Pregnancy, childbirth and the puerperium",,,15
844,All Causes,"Pregnancy, childbirth and the puerperium",,,
107,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abnormal findings on diagnostic imaging of lung,,17
106,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Abnormal weight loss,42
131,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Cardiogenic shock,36
282,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,"Haemorrhage, not elsewhere classified",27
390,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Malaise and fatigue,50
495,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Other and unspecified convulsions,106
518,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Other lack of expected normal physiological development,628
541,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Other specified general symptoms and signs,45
633,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Senility,303
649,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,"Shock, unspecified",15
754,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,
342,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,Instantaneous death,43
514,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,Other ill-defined and unspecified causes of mortality,1592
675,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,Sudden infant death syndrome - SIDS,325
753,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,,
9,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,"Bradycardia, unspecified",19
34,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,Asphyxia,20
269,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,"Gangrene, not elsewhere classified",13
492,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,Other and unspecified abnormalities of breathing,16
612,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,Respiratory arrest,61
752,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,,
229,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,Dysphagia,38
546,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,Other specified symptoms and signs involving the digestive system and abdomen,22
751,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,,
843,All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",,,
860,All Causes,,,,
